,Primary Action,Role ID,Aggressor ID,Victim Recognition,Action+Aggressors,Action+Victims,Aggressor+Victim,Aggressor+Action+Victim,Sequence Verification,Single Question accuracy (column CDEF),Compound Question accuracy (column GH),Fine Detailed Question (column IJ),Primary Accuracy,Action+Location,Role Count Victim,Role Count Aggressor,Role Count Bystander,Agg+Victim Count,Secondary Accuracy,Overall Accuracy
,1802,2233,1519,1479,2254,2211,1203,1212,1091,7033,5668,2303,15004,1167,673,674,672,558,3744,18748
Model,,,,,,,,,,,,,,,,,,,,
gemma-4-26B-A4B-it,48.92%,48.81%,53.10%,45.50%,37.92%,36.80%,48.13%,30.00%,31.81%,49.07%,39.65%,30.86%,42.72%,31.90%,82.59%,56.32%,77.38%,53.23%,56.75%,45.52%
InternVideo2.5-8B,43.70%,54.68%,49.67%,41.77%,37.39%,38.98%,43.64%,21.32%,21.72%,48.07%,39.34%,21.51%,40.70%,33.53%,79.32%,55.42%,91.22%,61.47%,60.22%,44.60%
InternVL2.5-8B,46.00%,56.02%,55.89%,52.13%,42.15%,45.59%,49.29%,25.99%,27.59%,52.61%,45.01%,26.75%,45.77%,38.22%,82.62%,57.12%,91.82%,66.85%,63.49%,49.31%
InternVL3-9B,40.34%,55.71%,53.19%,50.10%,39.93%,35.28%,44.39%,30.94%,25.21%,50.05%,39.06%,28.22%,42.55%,35.90%,74.89%,61.72%,56.85%,59.14%,54.78%,44.99%
InternVL3.5-8B,36.13%,53.61%,53.85%,49.63%,35.98%,32.43%,47.46%,28.80%,28.69%,48.34%,37.03%,28.75%,41.06%,38.99%,74.15%,49.55%,81.70%,66.67%,59.00%,44.64%
LLaVA-Video-7B-Qwen2,19.37%,23.11%,20.67%,13.39%,16.19%,15.51%,32.25%,13.20%,13.02%,19.58%,19.34%,13.11%,18.50%,17.91%,72.36%,60.53%,94.20%,63.62%,55.88%,25.96%
Ovis2.5-9B,39.84%,54.81%,55.63%,52.27%,35.63%,34.83%,48.21%,33.50%,32.63%,50.62%,37.99%,33.09%,43.16%,37.70%,75.78%,61.87%,72.47%,76.34%,60.90%,46.70%
Qwen2.5-VL-7B-Instruct,41.48%,42.90%,43.94%,38.66%,36.77%,34.18%,43.31%,24.96%,22.36%,41.87%,37.15%,23.73%,37.30%,33.02%,83.63%,43.68%,57.44%,38.53%,49.24%,39.68%
Qwen3-VL-8B-Instruct,46.47%,55.42%,53.06%,48.04%,49.27%,43.89%,46.80%,34.60%,35.84%,51.07%,46.65%,35.19%,46.96%,46.74%,79.61%,57.72%,70.83%,62.37%,61.28%,49.82%
VideoLLaMA3-7B,43.34%,53.87%,53.98%,46.52%,22.63%,35.05%,38.57%,20.96%,21.91%,49.65%,30.86%,21.41%,38.22%,35.90%,72.07%,49.26%,61.01%,71.68%,54.65%,41.50%
InternVL2.5-78B-AWQ,54.88%,63.28%,64.38%,60.38%,56.74%,54.68%,56.28%,46.12%,45.37%,60.76%,55.84%,45.77%,56.60%,52.78%,75.19%,57.42%,93.60%,75.81%,68.40%,58.96%
Qwen2.5-VL-72B-Instruct-AWQ,39.00%,50.54%,50.59%,41.67%,38.74%,35.10%,48.67%,26.53%,27.34%,45.73%,39.47%,26.91%,40.50%,35.71%,86.31%,53.19%,91.51%,60.22%,61.62%,44.78%
,,,,,,,,,,,,,,,,,,,,
Ovis2.5-9B-Thinking,39.90%,54.90%,55.76%,52.27%,35.63%,34.92%,48.55%,33.42%,32.81%,50.69%,38.09%,33.13%,43.24%,37.36%,76.08%,61.57%,72.47%,76.16%,60.76%,46.74%
Qwen3-VL-8B-Thinking vllm,33.70%,51.64%,51.19%,40.42%,35.44%,32.19%,45.97%,30.41%,31.16%,44.59%,36.41%,30.77%,39.37%,31.39%,89.14%,65.97%,81.70%,80.82%,64.39%,44.37%
InternVL3.5-8B detailed cot prompt,37.74%,58.53%,58.20%,50.91%,38.60%,36.23%,44.47%,32.51%,33.82%,51.53%,38.92%,33.13%,43.94%,38.30%,69.69%,59.64%,54.61%,75.27%,56.22%,46.39%
InternVL3.5-8B dream of thoughts,37.85%,51.86%,57.08%,53.01%,40.15%,36.64%,47.38%,39.77%,42.16%,49.64%,40.31%,40.90%,44.77%,40.70%,73.70%,61.57%,55.36%,83.51%,59.40%,47.70%
